uniqueID,drugName,condition,rating,date,usefulCount,review
2,Medroxyprogesterone,Amenorrhea,10,42304,11,Im years old and recently found out I might have PCOS I havent gotten my period since On October th I started taking medroxyprogesterone mg for days It actually worked My period came on days after finishing the pill It started with very light cramping and very light bleeding This is only my second day of being on my period Looking forward to seeing the outcome if the bleeding gets heavier or not This pill does cause mood swings One minute I feel a certain way the next minute it changes Im pretty sure Im driving my fianc
3,Medroxyprogesterone,Abnormal Uterine Bleeding,8,42304,7,I have been on the shot years and until a month ago never period or even spotting A month ago dark brown blood awful odor amp now I have had a full blown period for days Not sure what to think I have continued the shot all of these years only because of the absent monthly
4,Medroxyprogesterone,Birth Control,9,42303,12,Ive had four shots at this point I was on birth control pills for years due to excessive bleeding and extreme pain Never had a regular period and would have them for over a week with HEAVY bleedingim talking pad and tampon at the same time and it would still overflow The pills only made it worse Since the shot i have had no issues I have gained about pounds but that didnt happen until months in And i quit antidepressants so that could have been why i gained weight After months there is no bleeding and no cramps I almost forget what its like to have a period And to be thruthful my boyfriend cums inside me and has since ive been on the shot Ive had no pregnancy scare or issues at all Its super convenient and easy
5,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42302,4,I had a total of shots I got my first one before leaving the hospital after giving birth to my first and only child I chose it on reccomendation from a friend who loves it I stopped taking it September counting the months I was pregnant I had not had a period in years I finally went to the Doctor since we were taking about having another baby They did an ultrasound and said that the wall of my uterus was pretty thick but nothing was done about it About a week later it finally started May I started spotting then a regular to heavy flow Its is not Oct and I am still bleeding My OB told me the only thing she could do for my is a D and C which I seem to have to keep rescheduling Dont take the shot
7,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42299,6,Im and got this for heavy bleeding Ive always heard that bc makes you gain weight but was NOT expecting what I go I gained lbs from just one shot Sent from my usual to Made me nauseated after I ate anything Had to buy a whole new wardrobe because I couldnt fit anything And my sex drive Omg I felt like a yr old women because I was as dry as a desert and couldnt get wet no matter what It was awful I really really dont suggest this I would much rather have cramps that make me throw up rather than take this shot ever again
8,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42298,2,Im and have been having heavy and painful periods since forever I got my depo shot last month and I spotted yesterday at school I was with my boyfriend but glad i took a good shower that he didnt noticei hope But same thing happened today morning too All thats happening is my head is hurting alittle but it started of brownish to a proper red I really hope its not for long But in terms of weight gain i have been eating alotttt more and my mood is a bit harder to control I wont take the shot anymore ill go for the pill but I would recommend dealing with the cramps and flow unless the doctor says something
9,Medroxyprogesterone,Abnormal Uterine Bleeding,2,42298,5,Im a year old woman I got the shot on August th I have been bleeding since I decided not to continue Yes its effective at making sure you dont get pregnant because you cant have sex Its a double edged sword My face has broken out and I have a very good eating regime and my weight is up and down mostly up
10,Medroxyprogesterone,Abnormal Uterine Bleeding,7,42297,2,Im years old and I got shot in August personally I dont mind it I mean I bleed little bits and random times but Id rather have the blood thats supposed to come out come out and not worry about where its going or staying in my body I have my other injection in November on the nd and Im still wondering if I could take it again The only downside to the injection is that I gained access weight and Im kind of moody
12,Medroxyprogesterone,Abnormal Uterine Bleeding,3,42295,7,First month was awesome Absolutely wonderful Then I started lightly bleeding I just thought it was my period But it has lasted up until now which has been about almost months I will not take the shot again Having your period for months is hard on a girl And on top of that my emotions have been insane Like I am not a cryer I never cry and ever since Ive had the shot watching finding nemo makes me ball And I get pissed at people for nothing Its ridiculous Like I dislike who I have become with the shot
14,Medroxyprogesterone,Birth Control,2,42294,7,I started the Depo shot a year ago Originally I bled for weeks with a few days off After my second shot I bled for weeks and had weeks off of my period Then once my period started up again it never stopped So Ive been bleeding since the end of January which makes almost months that Ive been bleedingspotting with not even one day off There were times when it stopped for a few hours but I guess if it came right back it never actually stopped I didnt gain weight Ive struggled with mild depression anxiety poor appetite fatigue lots of nausea and abdominal pain My last shot was at the end of March Im getting the pill tomorrow to help regulate my hormones Im afraid of all birth control now but I hope this works
16,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42292,8,Im and I went on depo for very heavy bleeding Like so heavy I would go through a super plus tampon and over night pad in less then a hour I had the first shot about a month ago and it was fine a little pain but all shots do and now a month later a got my period much lighter for days which is very long for me then there was a day break and now it started again so in total I have been on my period for days I cant even go to school because the bleeding is very unpredictable its heavy one minute and lighter the next there is also large palm size Clots never had those before and the cramps sent me to the ER thinking I was having an appendix attack I never had cramps this bad before Dont know whats going on but I am not happy
18,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42291,4,I had my st shot on Sept nd I have had nonstop bleeding since Other side effects include extreme fatigue chills headache menstrual cramps almost daily depression and painful urination I want my life back I have made calls to my clinic and cant get past the front desk All I get told is there is nothing they will do about it until after Ive had my rd shot Pleaseif your considering this shot dont do it
22,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42287,5,I got the shot during my week post partum The nurse who I seen highly recommend the depo and said it would be great for me I spotted a few days here and there and finally got my period months later Ive been non stop bleeding super heavy for about days now The blood flow are clots the size of mini golf balls I feel so grouchy and tired Im supposed to go back in for my second shot this month HECK NO never again will I get this injection again Im in day of bleeding now Im constantly having to go to the restroom and change at work Ive been using overnight heavy flow pads since and its not getting any better
24,Medroxyprogesterone,Birth Control,5,42287,2,I had one injection in June after seeing a GP about wanting to try for a baby soon and he suggested I need to take Rubella immunisation and contraceptive He recommended Depo as he suggested it has minimum impact on my body before getting pregnant because its a progesterone only After the visit I found out on the net that the Depo shot can stop my ovulation for up to years I was a mess for a couple of month but after months I felt my cycle were coming back and after month before I even got a regular period back I fell pregnant Now we have a very healthy and happy year old It is effective as a contraceptive and Im now feel happy for what happened because I had a chronic anemia before but it got better while pregnant
25,Medroxyprogesterone,Birth Control,3,42332,2,I was on depo provera from the ages of Pros not pregnant no periods at all Cons I gained pounds I couldnt get lubricated for sex very easily My breasts lost sensitivity When coming off of depo provera in hopes to stop steadily gaining weight I had sexual dreams where I would actually orgasm and they were so painful I would wake up It felt like my uterus was being crushed and this pain would last anywhere from minutes to an hour When I told my doctor of this problem she looked at me like I was crazy The benefits do not make up for the horrible side effects I experienced Not recommended
